Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A140,11444076965387461,12/1/20,20024959,L,1,A140,12.46,11.45,1.87,5.96,3.62,4.75,1,1.01,0.18,,
A141,11273922596257815,12/1/20,20024960,L,2,A141,64.42,61.2,9.66,43.46,8.08,4.75,1,3.22,0.34,,
A142,11380305100724203,12/1/20,20024962,L,12,A142,44.81,38.29,6.72,24.53,7.04,7.5,1,6.52,2.5,,
A143,11286088683918622,12/1/20,20024963,L,2,A143,42.7,32.87,6.41,22.02,4.44,5.75,1,9.83,0.82,,
A144,11116815557357847,12/1/20,20024964,L,12,A144,24.85,25.24,3.73,13.43,8.08,6.99,1,-0.39,1.49,,
A145,11462039187653854,12/1/20,20024965,L,6,A145,34.89,34.69,5.23,20.37,9.09,9.99,1,0.2,9,,
A146,11262574596393023,12/1/20,20024966,L,1,A146,50.48,51.49,7.57,35.67,8.25,4.75,1,-1.01,0.41,,
A147,11334196278767429,12/1/20,20024967,L,4,A147,53.63,48.84,8.04,27.63,13.17,13.99,1,4.79,21,,
A148,11122620431313810,12/1/20,20024970,L,6,A148,31.32,31.84,4.7,14.59,12.55,9.99,1,-0.52,10.5,,
A149,11350458666947453,12/1/20,20024969,L,12,A149,41.93,40.25,6.29,24.39,9.57,9.5,1,1.68,6.92,,
A150,11347806945909812,12/1/20,20024968,L,12,A150,46.6,46.8,6.99,30.24,9.57,9.5,1,-0.2,4.92,,
A151,11326284530856225,12/1/20,20024972,L,1,A151,59.38,57.03,8.91,43.51,4.61,4.75,1,2.35,0.88,,
A152,11321261642695445,12/1/20,20024973,L,1,A152,12.57,9.97,1.89,4.84,3.24,4.75,1,2.6,0.06,,
A153,11119728600822660,12/1/20,20024979,L,12,A153,41.93,41.88,6.29,24.39,11.2,9.5,1,0.05,6.92,,
A154,11255307538825031,12/1/20,20024981,L,15,A154,39.35,37.82,5.9,23.58,8.34,8.75,1,1.53,4.75,,
A155,11186586740472215,12/1/20,20024982,L,1,A155,59.38,57.03,8.91,43.51,4.61,4.75,1,2.35,0.88,,
A156,11354246801658624,12/1/20,20024980,L,1,A156,18.22,17.36,2.73,11.01,3.62,4.75,1,0.86,0.41,,
A157,11152631555664248,12/1/20,20024984,L,12,A157,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,1.49,,
A158,11217861728653018,12/1/20,20024985,L,8,A158,59.74,57.37,8.96,36,12.41,4.75,1,2.37,10.16,,
A159,11324283517057859,12/1/20,20024987,L,6,A159,33.59,35.55,5.04,19.31,11.2,9.5,1,-1.96,7,,
A160,11119710894609019,12/1/20,20024986,L,3,A160,47.99,47.52,5.76,33.87,7.89,7.5,1,0.47,2.31,,
A161,11256248701346656,12/1/20,20024989,L,6,A161,32.32,34.62,4.85,16.29,13.48,9.99,1,-2.3,9,,
A162,11400383004125849,12/1/20,20024990,L,12,A162,28.99,29.54,4.35,15.91,9.28,7.99,1,-0.55,3.03,,
A163,11438731689619425,12/1/20,20024991,L,6,A163,48.22,47.62,5.79,30.6,11.23,5.75,1,0.6,3.6,,
A164,11472760867129048,12/1/20,20024992,L,6,A164,27.18,26.51,4.08,11.86,10.57,7.99,1,0.67,3.33,,
A165,11258084345786649,12/1/20,20024996,L,6,A165,20.93,24.29,3.14,10.21,10.94,7.5,1,-3.36,2.79,,
A166,11215044571202653,12/1/20,20024994,L,12,A166,32.8,30.06,4.92,14.07,11.07,9.99,1,2.74,9.35,,
A167,11132580977266608,12/1/20,20024993,L,2,A167,23.62,18.19,3.54,11.06,3.59,4.75,1,5.43,0.24,,
A168,11232050076271417,12/1/20,20024995,L,1,A168,17.62,16.64,2.64,10.45,3.55,4.75,1,0.98,0.1,,
A169,11491529290778626,12/1/20,20025012,L,1,A169,32.21,31.21,4.83,21.73,4.65,4.75,1,1,0.17,,
A170,11399512643719454,12/1/20,20025013,L,2,A170,15.58,11.09,1.24,5.08,4.77,5.75,1,4.49,0.68,,
